season,player,pp60,position,toi
2018,Andy Greene,0.88,D,20.83
2019,Andy Greene,0.68,D,19.55
2020,Andy Greene,0.31,D,17.58
2021,Andy Greene,0.5,D,17.41
2018,Auston Matthews,3.47,F,18.55
2019,Auston Matthews,3.27,F,20.97
2020,Auston Matthews,3.53,F,21.55
2021,Auston Matthews,4.23,F,20.61
2018,Brett Pesce,1.16,D,20.49
2019,Brett Pesce,0.81,D,21.88
2020,Brett Pesce,1.2,D,22.79
2021,Brett Pesce,1.11,D,21.7
2018,Calle Jarnkrok,1.28,F,15.43
2019,Calle Jarnkrok,2,F,15.94
2020,Calle Jarnkrok,2.09,F,16.72
2021,Calle Jarnkrok,1.7,F,16.04
2018,Connor Brown,1.54,F,13.79
2019,Connor Brown,1.81,F,20.11
2020,Connor Brown,2.06,F,18.24
2021,Connor Brown,1.82,F,20.06
2018,Connor McDavid,3.91,F,22.84
2019,Connor McDavid,4.16,F,21.87
2020,Connor McDavid,5.08,F,22.15
2021,Connor McDavid,4.18,F,22.07
2018,Esa Lindell,0.96,D,24.33
2019,Esa Lindell,0.85,D,23.41
2020,Esa Lindell,0.74,D,23.18
2021,Esa Lindell,0.9,D,22.05
2018,Garnet Hathaway,1.42,F,10.53
2019,Garnet Hathaway,1.35,F,10.78
2020,Garnet Hathaway,1.56,F,12.33
2021,Garnet Hathaway,1.53,F,13.39
2018,Jason Spezza,1.61,F,13.27
2019,Jason Spezza,2.39,F,10.83
2020,Jason Spezza,3.02,F,11.03
2021,Jason Spezza,1.97,F,10.75
2018,Neal Pionk,1.01,D,21.17
2019,Neal Pionk,1.63,D,23.38
2020,Neal Pionk,1.62,D,21.95
2021,Neal Pionk,1.25,D,21.14
2018,Nick Foligno,1.62,F,17.7
2019,Nick Foligno,1.49,F,18.67
2020,Nick Foligno,1.38,F,17.77
2021,Nick Foligno,0.98,F,12.47
2018,Nick Jensen,0.76,D,19.85
2019,Nick Jensen,0.4,D,17.82
2020,Nick Jensen,0.92,D,17.31
2021,Nick Jensen,0.86,D,19.35
2018,Oliver Bjorkstrand,2.27,F,12.34
2019,Oliver Bjorkstrand,2.46,F,17.94
2020,Oliver Bjorkstrand,2.68,F,17.61
2021,Oliver Bjorkstrand,2.38,F,17.94
2018,Radko Gudas,0.87,D,17.88
2019,Radko Gudas,0.85,D,16.72
2020,Radko Gudas,0.7,D,17.57
2021,Radko Gudas,0.69,D,18.02
2018,Roman Josi,1.63,D,25.17
2019,Roman Josi,2.19,D,25.78
2020,Roman Josi,1.67,D,24.39
2021,Roman Josi,2.82,D,25.55
2018,Sam Reinhart,2.51,F,18.96
2019,Sam Reinhart,2.11,F,20.63
2020,Sam Reinhart,2.27,F,19.54
2021,Sam Reinhart,3.55,F,17.77
2018,Thomas Chabot,1.94,D,24.29
2019,Thomas Chabot,1.27,D,26
2020,Thomas Chabot,1.44,D,26.28
2021,Thomas Chabot,1.48,D,26.19
2018,Torey Krug,2.33,D,21.3
2019,Torey Krug,2.35,D,20.49
2020,Torey Krug,1.67,D,22.55
2021,Torey Krug,1.96,D,20.55
2018,Yanni Gourde,2.27,F,15.84
2019,Yanni Gourde,1.83,F,14.07
2020,Yanni Gourde,2.26,F,17.07
2021,Yanni Gourde,2.11,F,18.48
2018,Zdeno Chara,0.64,D,21.08
2019,Zdeno Chara,0.59,D,21.01
2020,Zdeno Chara,0.6,D,18.32
2021,Zdeno Chara,0.62,D,18.73
