number,player,team_name,team_abbr,season,position,nationality,age,height,weight,shoots,catches,experience,birth_date,height_ft,height_cm,season_short,link
26,Andrew Agozzino,Anaheim Ducks,ANA,2020-21,LW,ca,30,5-10,187,L,-,4,"January 3, 1991",5.83333333333333,177.8,2021,https://www.hockey-reference.com/players/a/agozzan01.html
21,David Backes,Anaheim Ducks,ANA,2020-21,C,us,36,6-3,215,R,-,14,"May 1, 1984",6.25,190.5,2021,https://www.hockey-reference.com/players/b/backeda01.html
86,Simon Benoit,Anaheim Ducks,ANA,2020-21,D,ca,22,6-3,203,L,-,0,"September 19, 1998",6.25,190.5,2021,https://www.hockey-reference.com/players/b/benoisi01.html
39,Sam Carrick,Anaheim Ducks,ANA,2020-21,C,ca,28,6-0,200,R,-,4,"February 4, 1992",6,182.88,2021,https://www.hockey-reference.com/players/c/carrisa01.html
53,Max Comtois,Anaheim Ducks,ANA,2020-21,LW,ca,22,6-2,210,L,-,2,"January 8, 1999",6.16666666666667,187.96,2021,https://www.hockey-reference.com/players/c/comtoma01.html
58,Chase De Leo,Anaheim Ducks,ANA,2020-21,C,us,25,5-9,185,L,-,3,"October 25, 1995",5.75,175.26,2021,https://www.hockey-reference.com/players/d/deleoch01.html
20,Nicolas Deslauriers,Anaheim Ducks,ANA,2020-21,LW,ca,29,6-1,220,L,-,7,"February 22, 1991",6.08333333333333,185.42,2021,https://www.hockey-reference.com/players/d/deslani01.html
34,Jamie Drysdale,Anaheim Ducks,ANA,2020-21,D,ca,18,5-11,183,R,-,0,"April 8, 2002",5.91666666666667,180.34,2021,https://www.hockey-reference.com/players/d/drysdja01.html
51,Haydn Fleury,Anaheim Ducks,ANA,2020-21,D,ca,24,6-3,208,L,-,3,"July 8, 1996",6.25,190.5,2021,https://www.hockey-reference.com/players/f/fleurha01.html
4,Cam Fowler,Anaheim Ducks,ANA,2020-21,D,ca,29,6-2,215,L,-,10,"December 5, 1991",6.16666666666667,187.96,2021,https://www.hockey-reference.com/players/f/fowleca01.html
15,Ryan Getzlaf,Anaheim Ducks,ANA,2020-21,C,ca,35,6-4,220,R,-,15,"May 10, 1985",6.33333333333333,193.04,2021,https://www.hockey-reference.com/players/g/getzlry01.html
36,John Gibson,Anaheim Ducks,ANA,2020-21,G,us,27,6-2,210,-,-,7,"July 14, 1993",6.16666666666667,187.96,2021,https://www.hockey-reference.com/players/g/gibsojo02.html
38,Derek Grant,Anaheim Ducks,ANA,2020-21,C,ca,30,6-3,210,L,-,7,"April 20, 1990",6.25,190.5,2021,https://www.hockey-reference.com/players/g/grantde01.html
28,Jani Hakanpaa,Anaheim Ducks,ANA,2020-21,D,fi,28,6-7,220,-,-,1,"March 31, 1992",6.58333333333333,200.66,2021,https://www.hockey-reference.com/players/h/hakanja01.html
43,Danton Heinen,Anaheim Ducks,ANA,2020-21,C/LW,ca,25,6-1,188,L,-,4,"July 5, 1995",6.08333333333333,185.42,2021,https://www.hockey-reference.com/players/h/heineda01.html
14,Adam Henrique,Anaheim Ducks,ANA,2020-21,C,ca,30,6-0,195,L,-,10,"February 6, 1990",6,182.88,2021,https://www.hockey-reference.com/players/h/henriad01.html
7,Ben Hutton,Anaheim Ducks,ANA,2020-21,D,ca,27,6-2,206,L,-,5,"April 20, 1993",6.16666666666667,187.96,2021,https://www.hockey-reference.com/players/h/huttobe01.html
49,Max Jones,Anaheim Ducks,ANA,2020-21,LW,us,22,6-3,216,L,-,2,"February 17, 1998",6.25,190.5,2021,https://www.hockey-reference.com/players/j/jonesma03.html
32,Jacob Larsson,Anaheim Ducks,ANA,2020-21,D,se,23,6-3,202,L,-,3,"April 29, 1997",6.25,190.5,2021,https://www.hockey-reference.com/players/l/larssja01.html
40-95,Vinni Lettieri,Anaheim Ducks,ANA,2020-21,C,us,25,5-9,172,R,-,2,"February 6, 1995",5.75,175.26,2021,https://www.hockey-reference.com/players/l/lettivi01.html
47,Hampus Lindholm,Anaheim Ducks,ANA,2020-21,D,se,27,6-4,216,L,-,7,"January 20, 1994",6.33333333333333,193.04,2021,https://www.hockey-reference.com/players/l/lindhha01.html
48,Isac Lundestrom,Anaheim Ducks,ANA,2020-21,C,se,21,6-0,193,L,-,2,"November 6, 1999",6,182.88,2021,https://www.hockey-reference.com/players/l/lundeis01.html
76,Josh Mahura,Anaheim Ducks,ANA,2020-21,D,ca,22,6-0,185,L,-,2,"May 5, 1998",6,182.88,2021,https://www.hockey-reference.com/players/m/mahurjo01.html
42,Josh Manson,Anaheim Ducks,ANA,2020-21,D,us,29,6-3,218,R,-,6,"October 7, 1991",6.25,190.5,2021,https://www.hockey-reference.com/players/m/mansojo01.html
12,Sonny Milano,Anaheim Ducks,ANA,2020-21,LW,us,24,6-0,204,L,-,5,"May 12, 1996",6,182.88,2021,https://www.hockey-reference.com/players/m/milanso01.html
30,Ryan Miller,Anaheim Ducks,ANA,2020-21,G,us,40,6-2,168,-,L,17,"July 17, 1980",6.16666666666667,187.96,2021,https://www.hockey-reference.com/players/m/millery01.html
67,Rickard Rakell,Anaheim Ducks,ANA,2020-21,RW,se,27,6-1,195,R,-,8,"May 5, 1993",6.08333333333333,185.42,2021,https://www.hockey-reference.com/players/r/rakelri01.html
24,Carter Rowney,Anaheim Ducks,ANA,2020-21,RW,ca,31,6-1,208,R,-,4,"May 10, 1989",6.08333333333333,185.42,2021,https://www.hockey-reference.com/players/r/rowneca01.html
22,Kevin Shattenkirk,Anaheim Ducks,ANA,2020-21,D,us,32,6-0,212,R,-,10,"January 29, 1989",6,182.88,2021,https://www.hockey-reference.com/players/s/shattke01.html
33,Jakob Silfverberg,Anaheim Ducks,ANA,2020-21,LW,se,30,6-1,207,R,-,8,"October 13, 1990",6.08333333333333,185.42,2021,https://www.hockey-reference.com/players/s/silfvja01.html
23,Sam Steel,Anaheim Ducks,ANA,2020-21,C,ca,22,5-11,184,L,-,2,"February 3, 1998",5.91666666666667,180.34,2021,https://www.hockey-reference.com/players/s/steelsa01.html
31-41,Anthony Stolarz,Anaheim Ducks,ANA,2020-21,G,us,27,6-6,243,-,-,3,"January 20, 1994",6.5,198.12,2021,https://www.hockey-reference.com/players/s/stolaan01.html
61,Troy Terry,Anaheim Ducks,ANA,2020-21,C/RW,us,23,6-0,185,R,-,3,"September 10, 1997",6,182.88,2021,https://www.hockey-reference.com/players/t/terrytr01.html
92,Alexander Volkov,Anaheim Ducks,ANA,2020-21,RW,ru,23,6-1,193,L,-,1,"August 2, 1997",6.08333333333333,185.42,2021,https://www.hockey-reference.com/players/v/volkoal01.html
45,Andy Welinski,Anaheim Ducks,ANA,2020-21,D,us,27,6-1,201,R,-,2,"April 27, 1993",6.08333333333333,185.42,2021,https://www.hockey-reference.com/players/w/welinan01.html
46,Trevor Zegras,Anaheim Ducks,ANA,2020-21,C,us,19,6-0,185,L,-,0,"March 20, 2001",6,182.88,2021,https://www.hockey-reference.com/players/z/zegratr01.html
16,Derick Brassard,Arizona Coyotes,ARI,2020-21,C,ca,33,6-1,202,L,-,13,"September 22, 1987",6.08333333333333,185.42,2021,https://www.hockey-reference.com/players/b/brassde01.html
58,Michael Bunting,Arizona Coyotes,ARI,2020-21,LW,ca,25,5-11,197,L,-,1,"September 17, 1995",5.91666666666667,180.34,2021,https://www.hockey-reference.com/players/b/buntimi01.html
91,Drake Caggiula,Arizona Coyotes,ARI,2020-21,LW,ca,26,5-10,176,L,-,4,"June 20, 1994",5.83333333333333,177.8,2021,https://www.hockey-reference.com/players/c/caggidr01.html
75,Kyle Capobianco,Arizona Coyotes,ARI,2020-21,D,ca,23,6-1,196,L,-,3,"August 13, 1997",6.08333333333333,185.42,2021,https://www.hockey-reference.com/players/c/capobky01.html
26,Michael Chaput,Arizona Coyotes,ARI,2020-21,C,ca,28,6-2,199,L,-,7,"April 9, 1992",6.16666666666667,187.96,2021,https://www.hockey-reference.com/players/c/chapumi01.html
6,Jakob Chychrun,Arizona Coyotes,ARI,2020-21,D,us,22,6-2,210,L,-,4,"March 31, 1998",6.16666666666667,187.96,2021,https://www.hockey-reference.com/players/c/chychja01.html
67,Lawson Crouse,Arizona Coyotes,ARI,2020-21,LW,ca,23,6-4,220,L,-,4,"June 23, 1997",6.33333333333333,193.04,2021,https://www.hockey-reference.com/players/c/crousla01.html
55,Jason Demers,Arizona Coyotes,ARI,2020-21,D,ca,32,6-1,195,R,-,11,"June 9, 1988",6.08333333333333,185.42,2021,https://www.hockey-reference.com/players/d/demerja01.html
18,Christian Dvorak,Arizona Coyotes,ARI,2020-21,C,us,24,6-0,195,L,-,4,"February 2, 1996",6,182.88,2021,https://www.hockey-reference.com/players/d/dvorach01.html
23,Oliver Ekman-Larsson,Arizona Coyotes,ARI,2020-21,D,se,29,6-2,200,L,-,10,"July 17, 1991",6.16666666666667,187.96,2021,https://www.hockey-reference.com/players/e/ekmanol01.html
24,Hudson Fasching,Arizona Coyotes,ARI,2020-21,RW,us,25,6-3,205,R,-,3,"July 28, 1995",6.25,190.5,2021,https://www.hockey-reference.com/players/f/faschhu01.html
36,Christian Fischer,Arizona Coyotes,ARI,2020-21,RW,us,23,6-2,214,R,-,4,"April 15, 1997",6.16666666666667,187.96,2021,https://www.hockey-reference.com/players/f/fischch01.html
83,Conor Garland,Arizona Coyotes,ARI,2020-21,RW,us,24,5-10,165,R,-,2,"March 11, 1996",5.83333333333333,177.8,2021,https://www.hockey-reference.com/players/g/garlaco01.html
34,Frederik Gauthier,Arizona Coyotes,ARI,2020-21,C,ca,25,6-5,239,L,-,5,"April 26, 1995",6.41666666666667,195.58,2021,https://www.hockey-reference.com/players/g/gauthfr01.html
33,Alex Goligoski,Arizona Coyotes,ARI,2020-21,D,us,35,5-11,185,L,-,13,"July 30, 1985",5.91666666666667,180.34,2021,https://www.hockey-reference.com/players/g/goligal01.html
79,Jordan Gross,Arizona Coyotes,ARI,2020-21,D,us,25,5-10,190,R,-,1,"May 9, 1995",5.83333333333333,177.8,2021,https://www.hockey-reference.com/players/g/grossjo01.html
15,John Hayden,Arizona Coyotes,ARI,2020-21,C,us,25,6-3,223,R,-,4,"February 14, 1995",6.25,190.5,2021,https://www.hockey-reference.com/players/h/haydejo01.html
29,Barrett Hayton,Arizona Coyotes,ARI,2020-21,C,ca,20,6-1,192,L,-,1,"June 9, 2000",6.08333333333333,185.42,2021,https://www.hockey-reference.com/players/h/haytoba01.html
31,Adin Hill,Arizona Coyotes,ARI,2020-21,G,ca,24,6-6,200,-,L,3,"May 11, 1996",6.5,198.12,2021,https://www.hockey-reference.com/players/h/hillad01.html
4,Niklas Hjalmarsson,Arizona Coyotes,ARI,2020-21,D,se,33,6-3,197,L,-,13,"June 6, 1987",6.25,190.5,2021,https://www.hockey-reference.com/players/h/hjalmni01.html
28,Dryden Hunt,Arizona Coyotes,ARI,2020-21,LW,ca,25,6-0,193,L,-,3,"November 24, 1995",6,182.88,2021,https://www.hockey-reference.com/players/h/huntdr01.html
73,Jan Jenik,Arizona Coyotes,ARI,2020-21,RW,cz,20,6-1,165,L,-,0,"September 15, 2000",6.08333333333333,185.42,2021,https://www.hockey-reference.com/players/j/jenikja01.html
9,Clayton Keller,Arizona Coyotes,ARI,2020-21,C,us,22,5-10,170,L,-,4,"July 29, 1998",5.83333333333333,177.8,2021,https://www.hockey-reference.com/players/k/kellecl01.html
81,Phil Kessel,Arizona Coyotes,ARI,2020-21,RW,us,33,6-0,202,R,-,14,"October 2, 1987",6,182.88,2021,https://www.hockey-reference.com/players/k/kesseph01.html
35,Darcy Kuemper,Arizona Coyotes,ARI,2020-21,G,ca,30,6-5,215,-,L,8,"May 5, 1990",6.41666666666667,195.58,2021,https://www.hockey-reference.com/players/k/kuempda01.html
22,Johan Larsson,Arizona Coyotes,ARI,2020-21,LW/C,se,28,5-11,198,L,-,8,"July 25, 1992",5.91666666666667,180.34,2021,https://www.hockey-reference.com/players/l/larssjo02.html
